date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,implied_win_prob,implied_opp_score,proj_FP/60,proj_FP,proj_value
21_03_27,Rasmus Ristolainen,D,BUF,BOS,0.3235373416015092,0.2156915610676728,5.176597465624147,2.372607171744401,0.2383391749797784,0.0,0.0,0.0,0.0,22.54333333333336,0.152833911814272,0.7246311792231677,1.9,5.5,8.4,3800,0.2404262690375748,3.6,23.263989701503768,8.740797908403898,2.3002099758957626
21_03_27,Joe Thornton,W,TOR,EDM,0.7708779443254797,0.7708779443254797,3.854389721627399,1.3875802997858635,0.3823554603854379,0.0,0.0,0.0,0.0,15.280000000000031,1.0530465120562162,0.8940613286144115,3.6,6.5,6.6,4000,0.5960904848403678,2.9,34.22721879993316,8.716531721049664,2.179132930262416
21_03_27,Brian Elliott,G,PHI,NYR,0.0,0.0,0.0,0.0,0.0,23.178103184062667,2.835007662182872,-0.3118508428401159,-0.6708241103354334,52.204444444444434,0.0,0.0,2.8,6.0,11.2,7200,0.4401984971260817,3.2,10.00479490879791,8.704912666573351,1.2090156481351877
21_03_27,Travis Konecny,W,PHI,NYR,0.6200482259731307,1.3951085084395438,6.200482259731306,1.5501205649328265,0.5766448501550113,0.0,0.0,0.0,0.0,15.546666666666676,0.7726934128887037,0.7761717070107474,2.8,6.0,10.0,4800,0.4401984971260817,3.2,33.510925053088,8.683053024866807,1.8089693801805846
21_03_27,Jonathan Huberdeau,W,FLA,DAL,1.1841131485897558,1.480141435737195,6.660636460817377,0.7400707178685975,0.4233204506208378,0.0,0.0,0.0,0.0,17.71777777777776,0.5422117031934128,0.6099955334569751,2.8,5.5,14.2,7600,0.5163595982243688,2.7,29.360570320793656,8.670067672877316,1.1407983780101731
21_03_27,Andre Burakovsky,W,COL,VGK,0.6312467122567054,1.5781167806417635,5.839032088374526,1.2624934245134107,0.5381378221988413,0.0,0.0,0.0,0.0,14.708333333333368,0.9470786235829628,0.7539739880701148,3.2,5.5,8.8,4500,0.6443821007008639,2.3,35.28884939499227,8.650669330855765,1.9223709624123924
21_03_27,Dylan Strome,W,CHI,NSH,0.4707318136250692,0.7845530227084485,6.276424181667588,2.981301486292105,0.5397724796234127,0.0,0.0,0.0,0.0,15.731666666666722,0.6496260190912205,0.6162291335825324,2.8,5.5,9.6,4100,0.5163595982243688,2.7,32.589277720788836,8.54472756684797,2.084079894353163
21_03_27,Charlie Coyle,C,BOS,BUF,0.5961745466589395,0.7452181833236744,5.365570919930454,1.6394800033120835,0.4411691645276152,0.0,0.0,0.0,0.0,17.02499999999998,0.363614914497112,0.5545913163716152,3.6,5.5,8.6,4000,0.7595737309624251,1.9,30.0886190749599,8.53764566251986,2.134411415629965
21_03_27,Jakub Voracek,W,PHI,NYR,0.7338252680500612,1.9079456969301596,6.164132251620514,1.9079456969301596,0.5753190101512481,0.0,0.0,0.0,0.0,16.471111111111156,0.6067456483280433,0.6120500496405717,2.8,6.0,9.1,6400,0.4401984971260817,3.2,30.939215638946756,8.493387641328665,1.3270918189576038
21_03_27,Alex Goligoski,D,ARI,SJS,0.1060789109231809,0.2121578218463618,3.712761882311333,4.6674720806199606,0.1951851960986529,0.0,0.0,0.0,0.0,22.520000000000035,0.2223493080178423,0.6290109438681794,2.8,5.5,9.3,3700,0.5163595982243688,2.7,22.547991726700026,8.463012894754756,2.2873007823661506
