date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,implied_win_prob,proj_FP/60,proj_FP,proj_value
21_03_24,Matt Roy,D,LAK,SJS,0.1177432542927226,0.7064595257563359,5.180703188879796,4.356500408830739,0.1836794766966473,0.0,0.0,0.0,0.0,19.41666666666669,0.1138821647447186,0.0,2.8,5.5,8.5,3700,0.5163595982243688,20.91340730920072,6.767810976449685,1.8291381017431583
21_03_24,Cody Ceci,D,PIT,BUF,0.2515547480958705,0.503109496191741,3.899098595485993,5.53420445810915,0.1823771923695061,0.0,0.0,0.0,0.0,18.309444444444438,0.0,0.0,3.7,6.0,6.6,3500,0.7017745917701552,21.65014887163802,6.6067032996534625,1.8876295141867034
21_03_24,Brian Dumoulin,D,PIT,BUF,0.0,0.5474785570898486,2.7373927854492432,3.175375631121122,0.1292049394732042,0.0,0.0,0.0,0.0,21.302777777777735,0.2394882729211092,0.0,3.7,6.0,7.9,3500,0.7017745917701552,18.59982422063296,6.6037987012978645,1.886799628942247
21_03_24,Dillon Dube,W,CGY,OTT,0.8278907184251655,1.3246251494802648,6.7887038910863575,1.490203293165298,0.5679330328396637,0.0,0.0,0.0,0.0,13.643333333333368,0.6326485623400449,0.0,3.4,6.0,7.3,4100,0.6184265754438586,28.796745078175753,6.548059866942981,1.5970877724251171
21_03_24,Zach Aston-Reese,W,PIT,BUF,1.1330425790207246,0.3237264511487784,5.503349669529233,2.266085158041449,0.585944876579289,0.0,0.0,0.0,0.0,14.185000000000032,0.5633652466628267,0.0,3.7,6.0,5.5,3300,0.7017745917701552,27.651340077244704,6.537237649928617,1.9809811060389746
21_03_24,Victor Rask,C,MIN,ANA,1.212471131639718,0.6928406466512674,4.503464203233238,0.6928406466512674,0.4503464203233238,0.0,0.0,0.0,0.0,12.942222222222268,0.6982212086265382,0.8083564406140322,3.3,5.5,7.4,4100,0.6747695450400617,30.099446238427312,6.492562033059307,1.5835517153803187
21_03_24,Mario Ferraro,D,SJS,LAK,0.1087711877209414,0.7613983140465898,3.4806780070701246,3.91576275795389,0.1544550865637368,0.0,0.0,0.0,0.0,22.336111111111123,0.2656720394298648,0.0,2.8,5.5,8.3,3900,0.5163595982243688,17.312707062531935,6.444975809713859,1.6525578999266304
21_03_24,John Leonard,W,SJS,LAK,0.4660203195230535,1.2376378015776797,6.501831074770935,1.954082888676672,0.5807006182730059,0.0,0.0,0.0,0.0,11.90517972179467,0.6415937060655684,0.6459551981708861,2.8,5.5,5.5,3400,0.5163595982243688,32.33605342711659,6.4161087923896245,1.8870908212910662
21_03_24,Derek Forbort,D,WPG,VAN,0.1063609773392024,0.4254439093568097,3.828995184211287,6.062575708334538,0.0797707330044018,0.0,0.0,0.0,0.0,21.267222222222305,0.1615496037944842,0.0,3.2,6.0,7.9,3700,0.5598015028739183,17.98760268209449,6.375772391419091,1.7231817274105652
21_03_24,Marcus Pettersson,D,PIT,BUF,0.2633022490400444,0.3949533735600667,4.476138233680755,3.6862314865606223,0.1500822819528253,0.0,0.0,0.0,0.0,16.956111111111078,0.0877652370203163,0.0,3.7,6.0,5.9,3700,0.7017745917701552,22.122433550427566,6.251840688820355,1.68968667265415
