first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Nick,Ritchie,W,,,2,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3200,27,0.0,5.7,15.7,6.5,2.03
Joe,Pavelski,W,,4,1,,2020-01-29,Main,DAL,TOR,-1.5,6,3,5200,19,3.2,6.4,12.8,6.4,1.23
Ryan,Johansen,C,,1,1,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,5200,14,1.6,6.2,20.0,6.4,1.23
Josh,Manson,D,,2,,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3600,4,3.2,9.8,28.4,6.4,1.76
Alex,Chiasson,W,,4,2,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,4000,22,1.6,12.0,25.3,6.2,1.54
Justin,Holl,D,,1,,,2020-01-29,Main,TOR,DAL,+1.5,6,3,3600,30,3.2,6.7,14.4,6.2,1.73
Tyler,Myers,D,,3,2,,2020-01-29,Main,VAN,SJS,+1.5,6,3,4300,13,1.6,6.7,12.8,6.2,1.44
Josh,Archibald,W,,1,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,3700,22,1.6,14.0,31.6,6.2,1.67
Carl,Hagelin,W,,3,,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,3400,4,1.6,12.5,19.2,6.0,1.78
Clayton,Keller,W,,3,2,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,5300,20,1.6,5.2,13.3,6.0,1.14
Radko,Gudas,D,,3,,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,3500,20,4.8,6.7,9.6,6.0,1.73
Matt,Irwin,D,,3,,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,3500,22,0.0,4.5,9.6,5.9,1.69
Mikael,Backlund,W,,2,2,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,4900,22,1.6,5.8,11.2,5.8,1.18
Ryan,McDonagh,D,,2,,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,3900,15,1.6,7.7,14.4,5.8,1.48
